Date (Calendar),Day,Month,Quarter,Y_Select Date,Year,Year(Date)
11/25/2018,Sun,Nov,Qtr 4,True,2018,2018
5/15/2018,Tue,May,Qtr 2,True,2018,2018
12/31/2019,Tue,Dec,Qtr 4,True,2019,2019
10/22/2019,Tue,Oct,Qtr 4,True,2019,2019
9/19/2020,Sat,Sep,Qtr 3,True,2020,2020
12/7/2019,Sat,Dec,Qtr 4,True,2019,2019
4/28/2020,Tue,Apr,Qtr 2,True,2020,2020
6/3/2020,Wed,Jun,Qtr 2,True,2020,2020
12/22/2018,Sat,Dec,Qtr 4,True,2018,2018
4/30/2018,Mon,Apr,Qtr 2,True,2018,2018
10/9/2020,Fri,Oct,Qtr 4,True,2020,2020
10/26/2019,Sat,Oct,Qtr 4,True,2019,2019
11/11/2018,Sun,Nov,Qtr 4,True,2018,2018
8/13/2018,Mon,Aug,Qtr 3,True,2018,2018
4/25/2018,Wed,Apr,Qtr 2,True,2018,2018
4/14/2018,Sat,Apr,Qtr 2,True,2018,2018
11/22/2018,Thu,Nov,Qtr 4,True,2018,2018
9/8/2018,Sat,Sep,Qtr 3,True,2018,2018
4/2/2019,Tue,Apr,Qtr 2,True,2019,2019
7/3/2020,Fri,Jul,Qtr 3,True,2020,2020
9/5/2019,Thu,Sep,Qtr 3,True,2019,2019
7/3/2018,Tue,Jul,Qtr 3,True,2018,2018
3/30/2020,Mon,Mar,Qtr 1,True,2020,2020
7/25/2020,Sat,Jul,Qtr 3,True,2020,2020
7/27/2019,Sat,Jul,Qtr 3,True,2019,2019
8/9/2020,Sun,Aug,Qtr 3,True,2020,2020
7/22/2018,Sun,Jul,Qtr 3,True,2018,2018
5/3/2020,Sun,May,Qtr 2,True,2020,2020
7/18/2018,Wed,Jul,Qtr 3,True,2018,2018
6/4/2020,Thu,Jun,Qtr 2,True,2020,2020
11/13/2018,Tue,Nov,Qtr 4,True,2018,2018
3/11/2019,Mon,Mar,Qtr 1,True,2019,2019
5/9/2019,Thu,May,Qtr 2,True,2019,2019
12/10/2020,Thu,Dec,Qtr 4,True,2020,2020
11/16/2018,Fri,Nov,Qtr 4,True,2018,2018
6/16/2020,Tue,Jun,Qtr 2,True,2020,2020
3/17/2019,Sun,Mar,Qtr 1,True,2019,2019
1/16/2020,Thu,Jan,Qtr 1,True,2020,2020
11/9/2019,Sat,Nov,Qtr 4,True,2019,2019
7/4/2018,Wed,Jul,Qtr 3,True,2018,2018
9/16/2018,Sun,Sep,Qtr 3,True,2018,2018
10/30/2018,Tue,Oct,Qtr 4,True,2018,2018
3/26/2019,Tue,Mar,Qtr 1,True,2019,2019
7/5/2019,Fri,Jul,Qtr 3,True,2019,2019
3/9/2019,Sat,Mar,Qtr 1,True,2019,2019
11/12/2018,Mon,Nov,Qtr 4,True,2018,2018
3/25/2020,Wed,Mar,Qtr 1,True,2020,2020
10/16/2020,Fri,Oct,Qtr 4,True,2020,2020
11/14/2020,Sat,Nov,Qtr 4,True,2020,2020
12/4/2020,Fri,Dec,Qtr 4,True,2020,2020
11/3/2018,Sat,Nov,Qtr 4,True,2018,2018
9/14/2020,Mon,Sep,Qtr 3,True,2020,2020
6/21/2020,Sun,Jun,Qtr 2,True,2020,2020
6/10/2018,Sun,Jun,Qtr 2,True,2018,2018
8/20/2020,Thu,Aug,Qtr 3,True,2020,2020
8/31/2018,Fri,Aug,Qtr 3,True,2018,2018
2/14/2019,Thu,Feb,Qtr 1,True,2019,2019
12/5/2018,Wed,Dec,Qtr 4,True,2018,2018
1/30/2019,Wed,Jan,Qtr 1,True,2019,2019
8/10/2019,Sat,Aug,Qtr 3,True,2019,2019
7/9/2020,Thu,Jul,Qtr 3,True,2020,2020
3/27/2019,Wed,Mar,Qtr 1,True,2019,2019
4/10/2019,Wed,Apr,Qtr 2,True,2019,2019
3/8/2019,Fri,Mar,Qtr 1,True,2019,2019
5/1/2018,Tue,May,Qtr 2,True,2018,2018
9/18/2020,Fri,Sep,Qtr 3,True,2020,2020
8/10/2018,Fri,Aug,Qtr 3,True,2018,2018
1/14/2019,Mon,Jan,Qtr 1,True,2019,2019
11/27/2020,Fri,Nov,Qtr 4,True,2020,2020
11/23/2018,Fri,Nov,Qtr 4,True,2018,2018
1/21/2019,Mon,Jan,Qtr 1,True,2019,2019
9/29/2020,Tue,Sep,Qtr 3,True,2020,2020
9/1/2018,Sat,Sep,Qtr 3,True,2018,2018
10/10/2019,Thu,Oct,Qtr 4,True,2019,2019
10/29/2020,Thu,Oct,Qtr 4,True,2020,2020
1/20/2020,Mon,Jan,Qtr 1,True,2020,2020
11/11/2019,Mon,Nov,Qtr 4,True,2019,2019
11/21/2018,Wed,Nov,Qtr 4,True,2018,2018
2/11/2019,Mon,Feb,Qtr 1,True,2019,2019
8/19/2018,Sun,Aug,Qtr 3,True,2018,2018
12/28/2019,Sat,Dec,Qtr 4,True,2019,2019
10/4/2019,Fri,Oct,Qtr 4,True,2019,2019
8/17/2019,Sat,Aug,Qtr 3,True,2019,2019
8/20/2019,Tue,Aug,Qtr 3,True,2019,2019
4/11/2018,Wed,Apr,Qtr 2,True,2018,2018
4/13/2019,Sat,Apr,Qtr 2,True,2019,2019
12/1/2019,Sun,Dec,Qtr 4,True,2019,2019
9/3/2019,Tue,Sep,Qtr 3,True,2019,2019
6/28/2019,Fri,Jun,Qtr 2,True,2019,2019
4/24/2020,Fri,Apr,Qtr 2,True,2020,2020
4/4/2019,Thu,Apr,Qtr 2,True,2019,2019
8/20/2018,Mon,Aug,Qtr 3,True,2018,2018
10/3/2018,Wed,Oct,Qtr 4,True,2018,2018
11/15/2020,Sun,Nov,Qtr 4,True,2020,2020
12/13/2020,Sun,Dec,Qtr 4,True,2020,2020
2/21/2020,Fri,Feb,Qtr 1,True,2020,2020
7/18/2019,Thu,Jul,Qtr 3,True,2019,2019
12/27/2020,Sun,Dec,Qtr 4,True,2020,2020
1/15/2020,Wed,Jan,Qtr 1,True,2020,2020
11/30/2018,Fri,Nov,Qtr 4,True,2018,2018
8/11/2018,Sat,Aug,Qtr 3,True,2018,2018
10/23/2020,Fri,Oct,Qtr 4,True,2020,2020
7/1/2020,Wed,Jul,Qtr 3,True,2020,2020
11/4/2020,Wed,Nov,Qtr 4,True,2020,2020
1/20/2019,Sun,Jan,Qtr 1,True,2019,2019
4/10/2018,Tue,Apr,Qtr 2,True,2018,2018
8/8/2019,Thu,Aug,Qtr 3,True,2019,2019
8/7/2020,Fri,Aug,Qtr 3,True,2020,2020
5/14/2020,Thu,May,Qtr 2,True,2020,2020
2/25/2020,Tue,Feb,Qtr 1,True,2020,2020
1/19/2020,Sun,Jan,Qtr 1,True,2020,2020
5/29/2018,Tue,May,Qtr 2,True,2018,2018
1/3/2019,Thu,Jan,Qtr 1,True,2019,2019
3/21/2019,Thu,Mar,Qtr 1,True,2019,2019
10/17/2018,Wed,Oct,Qtr 4,True,2018,2018
5/27/2019,Mon,May,Qtr 2,True,2019,2019
10/19/2018,Fri,Oct,Qtr 4,True,2018,2018
8/17/2020,Mon,Aug,Qtr 3,True,2020,2020
6/11/2018,Mon,Jun,Qtr 2,True,2018,2018
5/28/2018,Mon,May,Qtr 2,True,2018,2018
10/13/2019,Sun,Oct,Qtr 4,True,2019,2019
8/11/2020,Tue,Aug,Qtr 3,True,2020,2020
8/27/2019,Tue,Aug,Qtr 3,True,2019,2019
12/2/2019,Mon,Dec,Qtr 4,True,2019,2019
2/14/2020,Fri,Feb,Qtr 1,True,2020,2020
10/1/2019,Tue,Oct,Qtr 4,True,2019,2019
9/26/2020,Sat,Sep,Qtr 3,True,2020,2020
9/19/2019,Thu,Sep,Qtr 3,True,2019,2019
12/18/2019,Wed,Dec,Qtr 4,True,2019,2019
7/14/2019,Sun,Jul,Qtr 3,True,2019,2019
12/17/2018,Mon,Dec,Qtr 4,True,2018,2018
2/20/2019,Wed,Feb,Qtr 1,True,2019,2019
4/12/2020,Sun,Apr,Qtr 2,True,2020,2020
1/26/2019,Sat,Jan,Qtr 1,True,2019,2019
8/21/2019,Wed,Aug,Qtr 3,True,2019,2019
10/28/2020,Wed,Oct,Qtr 4,True,2020,2020
10/11/2019,Fri,Oct,Qtr 4,True,2019,2019
9/29/2019,Sun,Sep,Qtr 3,True,2019,2019
11/7/2018,Wed,Nov,Qtr 4,True,2018,2018
8/25/2019,Sun,Aug,Qtr 3,True,2019,2019
7/9/2019,Tue,Jul,Qtr 3,True,2019,2019
4/2/2020,Thu,Apr,Qtr 2,True,2020,2020
2/27/2019,Wed,Feb,Qtr 1,True,2019,2019
9/12/2020,Sat,Sep,Qtr 3,True,2020,2020
10/30/2020,Fri,Oct,Qtr 4,True,2020,2020
5/25/2018,Fri,May,Qtr 2,True,2018,2018
9/22/2019,Sun,Sep,Qtr 3,True,2019,2019
11/19/2018,Mon,Nov,Qtr 4,True,2018,2018
4/14/2019,Sun,Apr,Qtr 2,True,2019,2019
9/21/2020,Mon,Sep,Qtr 3,True,2020,2020
12/5/2020,Sat,Dec,Qtr 4,True,2020,2020
9/8/2019,Sun,Sep,Qtr 3,True,2019,2019
4/21/2020,Tue,Apr,Qtr 2,True,2020,2020
10/26/2020,Mon,Oct,Qtr 4,True,2020,2020
12/9/2020,Wed,Dec,Qtr 4,True,2020,2020
2/1/2020,Sat,Feb,Qtr 1,True,2020,2020
12/11/2018,Tue,Dec,Qtr 4,True,2018,2018
11/12/2019,Tue,Nov,Qtr 4,True,2019,2019
4/23/2020,Thu,Apr,Qtr 2,True,2020,2020
7/31/2018,Tue,Jul,Qtr 3,True,2018,2018
10/10/2018,Wed,Oct,Qtr 4,True,2018,2018
4/29/2020,Wed,Apr,Qtr 2,True,2020,2020
8/18/2020,Tue,Aug,Qtr 3,True,2020,2020
3/31/2020,Tue,Mar,Qtr 1,True,2020,2020
7/20/2018,Fri,Jul,Qtr 3,True,2018,2018
3/4/2019,Mon,Mar,Qtr 1,True,2019,2019
4/15/2020,Wed,Apr,Qtr 2,True,2020,2020
8/31/2019,Sat,Aug,Qtr 3,True,2019,2019
8/18/2019,Sun,Aug,Qtr 3,True,2019,2019
9/22/2020,Tue,Sep,Qtr 3,True,2020,2020
8/23/2020,Sun,Aug,Qtr 3,True,2020,2020
10/31/2020,Sat,Oct,Qtr 4,True,2020,2020
5/17/2020,Sun,May,Qtr 2,True,2020,2020
6/29/2020,Mon,Jun,Qtr 2,True,2020,2020
7/26/2020,Sun,Jul,Qtr 3,True,2020,2020
7/2/2018,Mon,Jul,Qtr 3,True,2018,2018
8/4/2018,Sat,Aug,Qtr 3,True,2018,2018
12/14/2018,Fri,Dec,Qtr 4,True,2018,2018
10/1/2018,Mon,Oct,Qtr 4,True,2018,2018
11/13/2019,Wed,Nov,Qtr 4,True,2019,2019
7/14/2020,Tue,Jul,Qtr 3,True,2020,2020
9/5/2018,Wed,Sep,Qtr 3,True,2018,2018
7/23/2019,Tue,Jul,Qtr 3,True,2019,2019
4/17/2019,Wed,Apr,Qtr 2,True,2019,2019
9/15/2018,Sat,Sep,Qtr 3,True,2018,2018
2/18/2020,Tue,Feb,Qtr 1,True,2020,2020
7/15/2020,Wed,Jul,Qtr 3,True,2020,2020
2/15/2020,Sat,Feb,Qtr 1,True,2020,2020
4/24/2019,Wed,Apr,Qtr 2,True,2019,2019
7/27/2018,Fri,Jul,Qtr 3,True,2018,2018
2/24/2020,Mon,Feb,Qtr 1,True,2020,2020
12/5/2019,Thu,Dec,Qtr 4,True,2019,2019
3/4/2020,Wed,Mar,Qtr 1,True,2020,2020
12/14/2019,Sat,Dec,Qtr 4,True,2019,2019
7/16/2020,Thu,Jul,Qtr 3,True,2020,2020
11/8/2020,Sun,Nov,Qtr 4,True,2020,2020
12/16/2019,Mon,Dec,Qtr 4,True,2019,2019
5/9/2018,Wed,May,Qtr 2,True,2018,2018
6/8/2018,Fri,Jun,Qtr 2,True,2018,2018
7/9/2018,Mon,Jul,Qtr 3,True,2018,2018
3/13/2019,Wed,Mar,Qtr 1,True,2019,2019
5/5/2018,Sat,May,Qtr 2,True,2018,2018
11/3/2019,Sun,Nov,Qtr 4,True,2019,2019
5/15/2020,Fri,May,Qtr 2,True,2020,2020
8/10/2020,Mon,Aug,Qtr 3,True,2020,2020
9/14/2019,Sat,Sep,Qtr 3,True,2019,2019
7/4/2019,Thu,Jul,Qtr 3,True,2019,2019
